
id,hash_columns_change,property,occupancyDate,physicalRooms,roomsSold,roomRevenue,roomArrivals,roomDepartures,totalRevenue,cancelledRooms,foodRevenue,noShowRooms,ooRooms,osRooms,otherRevenue,availableRooms,business_datetime,scd_valid_from,scd_valid_to
EQO/sVm7PrVLTpR7o19rUg==,C919NDehUmHPAfg2Z0P8Lw==,SAND01CN,2024-05-16,397,10,1000.508771929825,11,12,1043.4771929824572,10,42.968421052632,60,0,0,-7.1054273576010019e-15,387,2025-01-31 09:39:52,2025-01-31 09:39:52,
UozVHnIuwgbrsXKkfGSxVQ==,LMNUMCH5NyPylMNJ1h6n3w==,SAND01CN,2023-10-28,303,4,436.36363636363603,0,2,480.223285486443,0,43.859649122807,7,0,0,-1.4210854715202004e-14,299,2025-01-31 09:39:52,2025-01-31 09:39:52,
gaWiC3NzjbKS1jUfoKyT+A==,IINeRYGadoNX0wS1cD9EXA==,SAND01CN,2025-04-16,705,5,873.245614035088,1,0,882.017543859649,0,8.771929824561,0,0,0,0,700,2025-01-31 14:31:08,2025-01-31 14:31:08,2025-02-01 06:09:30
gaWiC3NzjbKS1jUfoKyT+A==,idpNEYMGfilMynrSrRQl0g==,SAND01CN,2025-04-16,1105,5,873.245614035088,1,0,882.017543859649,0,8.771929824561,0,0,0,0,1100,2025-02-01 06:09:30,2025-02-01 06:09:30,2025-02-03 13:47:38
gaWiC3NzjbKS1jUfoKyT+A==,sF6qbntbjq9CKpzQQy2M7g==,SAND01CN,2025-04-16,1133,5,873.245614035088,1,0,882.017543859649,0,8.771929824561,0,0,0,0,1128,2025-02-03 13:47:38,2025-02-03 13:47:38,2025-02-05 07:55:36
gaWiC3NzjbKS1jUfoKyT+A==,L1j6E79+gkrlASA4xCtV3Q==,SAND01CN,2025-04-16,1134,5,873.245614035088,1,0,882.017543859649,0,8.771929824561,0,0,0,0,1129,2025-02-05 07:55:36,2025-02-05 07:55:36,
hUUHrkAHbjplESIdG4+Bzw==,SvWVTxMMpOeaGdrRZojdWg==,SAND01CN,2023-02-23,300,3,1211.772727272727,7,5,1303.4569377990431,0,91.684210526316,1,0,0,7.1054273576010019e-14,297,2025-01-31 09:39:52,2025-01-31 09:39:52,
h78DZmuZUCnguA6eLS3oQg==,NPIQxfqOkIBRqgTq+OqqsA==,SAND01CN,2023-11-30,403,3,584.090909090909,2,3,631.020733652313,0,46.929824561404004,22,0,0,-1.0658141036401503e-14,400,2025-01-31 09:39:52,2025-01-31 09:39:52,
iMqZNKSXz/KPdgjZokjoTw==,mHvu4N1llFK/YEWgHTx/uQ==,SAND01CN,2022-10-26,300,196,37487.5,1,0,41785.745614035186,0,4298.2456140351842,0,0,0,-1.829647544582258e-12,104,2025-01-31 09:39:52,2025-01-31 09:39:52,
xYHtn4QUQkIgL1t2r5HQwQ==,lftMCQD8JajKBy1QSItnYQ==,SAND01CN,2023-05-24,300,3,760.518181818182,0,1,826.307655502393,0,65.789473684211,0,0,0,-2.8421709430404007e-14,297,2025-01-31 09:39:52,2025-01-31 09:39:52,
DeuS5dqp2t3miTMYDPm0xg==,sdQDXp1O4bhneOXGCpEQ/Q==,SAND01CN,2022-10-19,300,169,25223.9,0,0,28886.180701754471,0,3662.2807017544683,0,0,0,9.0949470177292824e-13,131,2025-01-31 09:39:52,2025-01-31 09:39:52,
J4nkiDTebtUhLogvDfSCEA==,sqgLERL6ByCF+kwEFe6rVQ==,SAND01CN,2022-05-04,84,0,0,0,0,0,1,0,0,0,0,0,84,2025-01-31 09:39:52,2025-01-31 09:39:52,
NkgIEx5LLh9L1YHtW3rnFQ==,i1/Ri/Mr+SV91zhVjh+XJQ==,SAND01CN,2025-11-12,705,2,329.649122807018,0,0,329.649122807018,0,0,0,0,0,0,703,2025-01-31 14:31:08,2025-01-31 14:31:08,2025-02-01 06:09:30
NkgIEx5LLh9L1YHtW3rnFQ==,7VGPo7Q7x1k5gV74D40qlQ==,SAND01CN,2025-11-12,1105,2,329.649122807018,0,0,329.649122807018,0,0,0,0,0,0,1103,2025-02-01 06:09:30,2025-02-01 06:09:30,2025-02-03 13:47:38
NkgIEx5LLh9L1YHtW3rnFQ==,sRh9AIRNziWgQZTDQHS6ng==,SAND01CN,2025-11-12,1133,2,329.649122807018,0,0,329.649122807018,0,0,0,0,0,0,1131,2025-02-03 13:47:38,2025-02-03 13:47:38,2025-02-05 07:55:36
NkgIEx5LLh9L1YHtW3rnFQ==,m4e9zxPIroik4SgTFWH1mg==,SAND01CN,2025-11-12,1134,2,329.649122807018,0,0,329.649122807018,0,0,0,0,0,0,1132,2025-02-05 07:55:36,2025-02-05 07:55:36,
PF3EaoowZY6h3og2idTdPA==,3hA6ruifdJP3K4TKi2DLIQ==,SAND01CN,2025-05-23,1133,1,109.649122807018,0,2,109.649122807018,0,0,0,0,0,0,1132,2025-02-03 13:47:38,2025-02-03 13:47:38,2025-02-05 07:55:36
PF3EaoowZY6h3og2idTdPA==,gJQ2dO9lEvJSUu+XnTDlVw==,SAND01CN,2025-05-23,1134,1,109.649122807018,0,2,109.649122807018,0,0,0,0,0,0,1133,2025-02-05 07:55:36,2025-02-05 07:55:36,
cB5nMKQ+FK3PZkimQxVxaA==,jXgX2RRldnrkB3sSrfG30Q==,SAND01CN,2023-06-02,300,7,980.97272727272707,4,1,1046.7622009569382,0,65.789473684211,3,2,1,-2.8421709430404007e-14,290,2025-01-31 09:39:52,2025-01-31 09:39:52,
ileMH7h49cIZn78HHcXpZg==,NBmj74mmScQeaDh802Ph2w==,SAND01CN,2024-09-28,401,3,299.33333333333303,0,4,2789.333333333333,3,0,10,0,0,2490,398,2025-01-31 09:39:52,2025-01-31 09:39:52,
qrsi0XDTfMv3J8kgwJ7lZw==,sHFoAa/WbdSclPLmXgmZlA==,SAND01CN,2024-03-15,397,22,3827.1690909090921,22,11,4208.8475742141327,3,350.87719298246003,36,2,0,30.801290322580755,373,2025-01-31 09:39:52,2025-01-31 09:39:52,
0uIX+88T1cT0/BDFqZ+Q4w==,jZlBueUc9yyAeem7wqw9zw==,SAND01CN,2025-06-18,705,2,285.087719298246,0,0,285.087719298246,0,0,0,0,0,0,703,2025-01-31 14:31:08,2025-01-31 14:31:08,2025-02-01 06:09:30
0uIX+88T1cT0/BDFqZ+Q4w==,9EaKcf7HNVBjyybA58Wy3g==,SAND01CN,2025-06-18,1105,2,285.087719298246,0,0,285.087719298246,0,0,0,0,0,0,1103,2025-02-01 06:09:30,2025-02-01 06:09:30,2025-02-03 13:47:38
0uIX+88T1cT0/BDFqZ+Q4w==,M0m3GHTDf4NN+wmrEnHdOw==,SAND01CN,2025-06-18,1133,2,285.087719298246,0,0,285.087719298246,0,0,0,0,0,0,1131,2025-02-03 13:47:38,2025-02-03 13:47:38,2025-02-05 07:55:36
